order_id,order_date,customer_id,customer_name,product_category,product_name,quantity,unit_price,discount_pct,shipping_country,payment_method,order_status,review_score,return_flag,notes
10001,2022-03-14,391,Eve Davis,Clothing,Coffee Maker,10,255.24,10.0,France,Crypto,Delivered,,0,Wrong item sent
10002,2022-03-06,350,Bob Smith,Beauty,Coffee Maker,3,122.78,5.0,Australia,PayPal,Delivered,4.0,0,Great product!
10003,2022-06-11,78,Bob Smith,Sports,Running Shoes,1,363.28,0.0,Canada,Debit Card,Delivered,5.0,0,
10004,2022-11-14,336,Bob Smith,Home & Garden,Desk Chair,2,324.21,25.0,USA,Bank Transfer,Delivered,,0,
10005,2022-02-18,115,Eve Davis,Clothing,Coffee Maker,2,203.38,,Canada,Debit Card,Delivered,5.0,0,
10006,2022-03-18,4,Alice Johnson,Home & Garden,Coffee Maker,1,362.66,0.0,USA,Bank Transfer,Delivered,5.0,1,
10007,2022-11-21,131,Bob Smith,Books,LED Lamp,10,53.76,10.0,UK,Credit Card,Delivered,2.0,0,
10008,2022-01-20,227,Bob Smith,Electronics,Wireless Headset,5,376.02,0.0,Germany,Credit Card,Delivered,5.0,0,Good value for money
10009,2022-05-06,128,Dave Brown,Clothing,LED Lamp,1,303.44,15.0,USA,Credit Card,Delivered,,0,Great product!
10010,2022-11-01,9,Dave Brown,Electronics,Python Book,1,$450.05,0.0,Canada,PayPal,Delivered,4.0,0,
10011,2023-01-05,324,Alice Johnson,Clothing,Bluetooth Speaker,1,37.01,25.0,UK,Bank Transfer,Delivered,,0,Wrong item sent
10012,2022-02-13,118,Carol White,Home & Garden,LED Lamp,2,310.98,25.0,USA,Bank Transfer,Delivered,,0,"Excellent quality, will buy again"
10013,2022-08-04,344,Carol White,Electronics,Coffee Maker,3,249.59,0.0,UK,PayPal,Processing,,0,
10014,2022-09-08,188,Dave Brown,Home & Garden,Coffee Maker,1,245.5,,USA,Credit Card,Delivered,,0,
10015,2022-07-28,139,Dave Brown,Electronics,Bluetooth Speaker,5,164.32,25.0,UK,Credit Card,Processing,3.0,0,
10016,2022-10-21,125,Alice Johnson,Clothing,Coffee Maker,2,8.77,20.0,USA,PayPal,Shipped,5.0,0,
10017,2022-10-18,223,Alice Johnson,Books,Bluetooth Speaker,2,214.21,,Germany,PayPal,Delivered,5.0,0,
10018,2022-08-11,328,Eve Davis,Home & Garden,Yoga Mat,5,203.45,10.0,USA,Credit Card,Delivered,4.0,0,"Excellent quality, will buy again"
